file,original_name,best_match,confidence,status,reason,method,top_sim,margin,top_candidates
hinkkanen.ttl,electromagnetic_torque_Te,,0.0,SKIPPED_NOT_IN_STANDARD,Skipped (Not found in standard / not defined in ontology),SKIP_LIST,0.0,0.0,[]
hinkkanen.ttl,rated_power_Pn,rated_output_power,0.54,ACCEPT,"The OEM variable 'rated_power_Pn' most closely matches the ontology candidate 'rated_output_power' based on the highest similarity score (0.54). Both refer to the rated or nominal output power of a motor, and the ontology candidate specifies the unit (kW) and source (IEC 60034-1:2022), which aligns with typical usage of 'Pn' in OEM datasets.",LLM,0.5395610928535461,0.04306104779243469,"[{""id"": ""rated_output_power"", ""sim"": 0.5396}, {""id"": ""output_power"", ""sim"": 0.4965}, {""id"": ""input_power"", ""sim"": 0.4812}, {""id"": ""power_factor"", ""sim"": 0.4785}, {""id"": ""power"", ""sim"": 0.4741}]"
hinkkanen.ttl,rated_voltage_Un,rated_voltage,0.5399122834205627,ACCEPT,"Auto by margin (top_sim=0.540, margin=0.092)",AUTO_MARGIN,0.5399122834205627,0.0915575623512268,"[{""id"": ""rated_voltage"", ""sim"": 0.5399}, {""id"": ""rated_output_power"", ""sim"": 0.4484}, {""id"": ""rated_current"", ""sim"": 0.4446}, {""id"": ""output_power"", ""sim"": 0.3947}, {""id"": ""power_factor"", ""sim"": 0.3945}]"
hinkkanen.ttl,rated_frequency_fn,,0.44204026460647583,HUMAN_REVIEW,Low similarity (top_sim=0.442 < MIN_SIM=0.45),LOW_SIM,0.44204026460647583,0.00887957215309143,"[{""id"": ""angular_frequency"", ""sim"": 0.442}, {""id"": ""frequency"", ""sim"": 0.4332}, {""id"": ""rotational_frequency"", ""sim"": 0.4079}, {""id"": ""rated_voltage"", ""sim"": 0.3853}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.3754}]"
hinkkanen.ttl,rated_speed_n_rated,rated_current,0.51,ACCEPT,"The variable 'rated_speed_n_rated' most likely refers to the rated speed of a motor, typically measured in rpm. Among the candidates, none directly reference 'rated speed' or 'rpm' except 'nn_rpm', which has a lower similarity score (0.45) and is associated with a Propeller rather than a Motor. The highest similarity score is for 'rated_current', but its property is for current (A), not speed. Therefore, while 'rated_current' is the best match by score, it is not semantically correct. No candidate directly matches 'rated_speed_n_rated', so the mapping is uncertain and confidence is low.",LLM,0.5051589608192444,0.0019057989120483398,"[{""id"": ""rated_current"", ""sim"": 0.5052}, {""id"": ""rated_voltage"", ""sim"": 0.5033}, {""id"": ""rated_output_power"", ""sim"": 0.5012}, {""id"": ""nn_rpm"", ""sim"": 0.4465}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.4455}]"
hinkkanen.ttl,rated_current_In,rated_current,0.95,ACCEPT,"The OEM variable 'rated_current_In' closely matches the ontology candidate 'rated_current' based on both semantic similarity (highest sim score: 0.5465) and context. Both refer to the rated current of a motor, with matching units (A) and reference to IEC 60034-1:2022. No other candidate is as relevant.",LLM,0.5465107560157776,0.04805248975753784,"[{""id"": ""rated_current"", ""sim"": 0.5465}, {""id"": ""rated_voltage"", ""sim"": 0.4985}, {""id"": ""rated_output_power"", ""sim"": 0.4956}, {""id"": ""locked_rotor_current"", ""sim"": 0.4725}, {""id"": ""input_power"", ""sim"": 0.4633}]"
hinkkanen.ttl,rated_torque_T_rated,ratedTorque_kNm,0.54,ACCEPT,"The OEM variable 'rated_torque_T_rated' refers to the rated torque, which matches semantically with the ontology property 'ratedTorque_kNm'. This candidate has the highest similarity score (0.541) among the options and its label and context (torque, rated value) align with the OEM variable. The domain (Gearbox or Coupling) may differ, but the property itself is the closest match.",LLM,0.5411089658737183,0.01488351821899414,"[{""id"": ""ratedTorque_kNm"", ""sim"": 0.5411}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.5262}, {""id"": ""breakdown_torque"", ""sim"": 0.5215}, {""id"": ""locked_rotor_torque"", ""sim"": 0.5172}, {""id"": ""rated_output_power"", ""sim"": 0.5135}]"
hinkkanen.ttl,total_moment_of_inertia_J_total,moment_of_inertia,0.5091819167137146,ACCEPT,"Auto by margin (top_sim=0.509, margin=0.126)",AUTO_MARGIN,0.5091819167137146,0.12569096684455872,"[{""id"": ""moment_of_inertia"", ""sim"": 0.5092}, {""id"": ""charpyV_J"", ""sim"": 0.3835}, {""id"": ""inertiaRatio_Ie_It"", ""sim"": 0.3811}, {""id"": ""comp:TorsionalVibrationDamper1"", ""sim"": 0.3704}, {""id"": ""torsionalStiffness_kNmPerRad"", ""sim"": 0.3697}]"
hinkkanen.ttl,stator_resistance_Rs,resistance,0.49,ACCEPT,"The OEM variable 'stator_resistance_Rs' refers specifically to the resistance of the stator winding in a motor. Among the candidates, 'resistance' is the most relevant ontology property, as it is defined for the MotorEquivalentCircuit and uses the correct unit (ohm). The similarity score is the highest among the candidates, though not very high, indicating a moderate match.",LLM,0.4906717836856842,0.0397944450378418,"[{""id"": ""resistance"", ""sim"": 0.4907}, {""id"": ""locked_rotor_current"", ""sim"": 0.4509}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4447}, {""id"": ""copper_losses"", ""sim"": 0.4395}, {""id"": ""winding_temperature_rise_K"", ""sim"": 0.4331}]"
hinkkanen.ttl,rotor_resistance_RR,resistance,0.47,ACCEPT,"The OEM variable 'rotor_resistance_RR' refers to the electrical resistance of the rotor, which aligns conceptually with the ontology candidate 'resistance'. Although the similarity score is moderate (0.47), it is the most relevant among the candidates, as the other options pertain to current, torque, losses, or temperature rise, none of which directly represent rotor resistance.",LLM,0.501102089881897,0.01049572229385376,"[{""id"": ""locked_rotor_current"", ""sim"": 0.5011}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4906}, {""id"": ""resistance"", ""sim"": 0.4707}, {""id"": ""copper_losses"", ""sim"": 0.421}, {""id"": ""winding_temperature_rise_K"", ""sim"": 0.4185}]"
hinkkanen.ttl,magnetizing_inductance_LM,,0.43843767046928406,HUMAN_REVIEW,Low similarity (top_sim=0.438 < MIN_SIM=0.45),LOW_SIM,0.43843767046928406,0.0019247233867645264,"[{""id"": ""inductance"", ""sim"": 0.4384}, {""id"": ""magnetic_flux"", ""sim"": 0.4365}, {""id"": ""linked_flux"", ""sim"": 0.4133}, {""id"": ""locked_rotor_current"", ""sim"": 0.386}, {""id"": ""copper_losses"", ""sim"": 0.3673}]"
hinkkanen.ttl,stator_transient_inductance_L_s_prime,inductance,0.45,HUMAN_REVIEW,"The OEM variable 'stator_transient_inductance_L_s_prime' refers to a specific inductance parameter of the stator in transient conditions. Among the candidates, 'inductance' is the most relevant ontology property, as it directly represents inductance (with unit H) and is associated with the MotorEquivalentCircuit, which matches the context of the OEM variable. The similarity score is 0.4545, which is the highest among the candidates, but still indicates only moderate confidence due to lack of specificity (i.e., it does not distinguish between different types of inductance).",LLM,0.45590120553970337,0.0013756155967712402,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4559}, {""id"": ""inductance"", ""sim"": 0.4545}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4444}, {""id"": ""linked_flux"", ""sim"": 0.4413}, {""id"": ""magnetic_flux"", ""sim"": 0.4324}]"
hinkkanen.ttl,pole_pairs_p,number_of_poles,0.529553234577179,ACCEPT,"Auto by margin (top_sim=0.530, margin=0.130)",AUTO_MARGIN,0.529553234577179,0.12950044870376587,"[{""id"": ""number_of_poles"", ""sim"": 0.5296}, {""id"": ""power_factor"", ""sim"": 0.4001}, {""id"": ""power"", ""sim"": 0.366}, {""id"": ""locked_rotor_torque"", ""sim"": 0.3575}, {""id"": ""breakdown_torque"", ""sim"": 0.3574}]"
hinkkanen.ttl,rotor_electrical_speed_omega_m,locked_rotor_current,0.53,ACCEPT,"Among the candidates, 'locked_rotor_current' has the highest similarity score (0.526) to the variable 'rotor_electrical_speed_omega_m'. However, the match is not conceptually strong, as 'rotor_electrical_speed_omega_m' refers to the electrical speed of the rotor (typically measured in rad/s or rpm), while 'locked_rotor_current' is a current property. The ontology does not provide a direct match for rotor electrical speed, but based strictly on the provided similarity scores, 'locked_rotor_current' is the best match.",LLM,0.5264195203781128,0.0017369985580444336,"[{""id"": ""locked_rotor_current"", ""sim"": 0.5264}, {""id"": ""locked_rotor_torque"", ""sim"": 0.5247}, {""id"": ""rotational_frequency"", ""sim"": 0.4879}, {""id"": ""mcrRpm_revPerSec"", ""sim"": 0.4852}, {""id"": ""minimum_air_speed"", ""sim"": 0.4629}]"
hinkkanen.ttl,reference_frame_speed_omega_k,,0.39171311259269714,NO_MATCH,Low similarity (top_sim=0.392 < MIN_SIM=0.45),LOW_SIM,0.39171311259269714,0.0031734108924865723,"[{""id"": ""rotational_frequency"", ""sim"": 0.3917}, {""id"": ""angular_frequency"", ""sim"": 0.3885}, {""id"": ""mcrRpm_revPerSec"", ""sim"": 0.373}, {""id"": ""frame_size"", ""sim"": 0.3656}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.3649}]"
hinkkanen.ttl,stator_current_space_vector_is,locked_rotor_current,0.45,HUMAN_REVIEW,"The variable 'stator_current_space_vector_is' refers to a current measurement related to the stator, which is most similar to 'locked_rotor_current' among the candidates. The similarity score is highest for 'locked_rotor_current' (0.45), and both involve current properties in electric motors. No candidate explicitly mentions 'space vector' or stator current, but 'locked_rotor_current' is the closest match based on terminology and context.",LLM,0.4527274966239929,0.031055957078933716,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4527}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4217}, {""id"": ""rated_current"", ""sim"": 0.3964}, {""id"": ""linked_flux"", ""sim"": 0.3942}, {""id"": ""breakdown_torque"", ""sim"": 0.3883}]"
hinkkanen.ttl,stator_voltage_space_vector_us,,0.43451064825057983,HUMAN_REVIEW,Low similarity (top_sim=0.435 < MIN_SIM=0.45),LOW_SIM,0.43451064825057983,0.023676395416259766,"[{""id"": ""rated_voltage"", ""sim"": 0.4345}, {""id"": ""locked_rotor_current"", ""sim"": 0.4108}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4094}, {""id"": ""linked_flux"", ""sim"": 0.385}, {""id"": ""breakdown_torque"", ""sim"": 0.3847}]"
hinkkanen.ttl,stator_flux_psi_s,magnetic_flux,0.46,ACCEPT,"The OEM variable 'stator_flux_psi_s' refers to the magnetic flux in the stator, which aligns with the ontology candidate 'magnetic_flux'. Both refer to magnetic flux, measured in Weber (Wb), and are relevant to the motor equivalent circuit. The similarity score is the highest among the candidates, supporting this mapping.",LLM,0.4646725654602051,0.02467668056488037,"[{""id"": ""magnetic_flux"", ""sim"": 0.4647}, {""id"": ""linked_flux"", ""sim"": 0.44}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4133}, {""id"": ""locked_rotor_current"", ""sim"": 0.4057}, {""id"": ""power_factor"", ""sim"": 0.3812}]"
hinkkanen.ttl,rotor_flux_psi_R,magnetic_flux,0.46,ACCEPT,"The OEM variable 'rotor_flux_psi_R' refers to the magnetic flux in the rotor, which aligns conceptually with the ontology property 'magnetic_flux'. Both represent magnetic flux, typically measured in Weber (Wb), and are relevant to the motor's equivalent circuit. Although the similarity score is moderate, it is the closest semantic match among the candidates.",LLM,0.49189093708992004,0.0011661350727081299,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4919}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4907}, {""id"": ""magnetic_flux"", ""sim"": 0.4583}, {""id"": ""linked_flux"", ""sim"": 0.4379}, {""id"": ""rotational_frequency"", ""sim"": 0.4138}]"
hinkkanen.ttl,stator_frequency_omega_s,angular_frequency,0.46,ACCEPT,"The OEM variable 'stator_frequency_omega_s' refers to the angular frequency of the stator, typically measured in rad/s. Among the candidates, 'angular_frequency' has the highest similarity score (0.4636) and matches the unit (rad/s) and concept. Other candidates refer to rotational frequency (rpm), general frequency (Hz), or unrelated properties, making 'angular_frequency' the most appropriate mapping.",LLM,0.46363967657089233,0.016704946756362915,"[{""id"": ""angular_frequency"", ""sim"": 0.4636}, {""id"": ""rotational_frequency"", ""sim"": 0.4469}, {""id"": ""frequency"", ""sim"": 0.4387}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.4362}, {""id"": ""locked_rotor_current"", ""sim"": 0.4225}]"
hinkkanen.ttl,slip_frequency_omega_r,slip_ratio,0.49,ACCEPT,"The OEM variable 'slip_frequency_omega_r' most likely refers to the slip frequency or slip ratio in an electric motor, which is the difference between synchronous and rotor speed, often expressed as a ratio or frequency. Among the candidates, 'slip_ratio' is the closest semantic match, with the highest similarity score (0.49). The other candidates refer to general angular or rotational frequencies, which do not specifically capture the concept of slip in motors.",LLM,0.48552465438842773,0.04049980640411377,"[{""id"": ""slip_ratio"", ""sim"": 0.4855}, {""id"": ""angular_frequency"", ""sim"": 0.445}, {""id"": ""rotational_frequency"", ""sim"": 0.44}, {""id"": ""mcrRpm_revPerSec"", ""sim"": 0.4062}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.4051}]"
hinkkanen.ttl,stator_current_d_isd,locked_rotor_current,0.48,ACCEPT,"The variable 'stator_current_d_isd' refers to the d-axis component of the stator current, which is a specific electrical parameter related to the stator in electric machines. Among the candidates, 'locked_rotor_current' is the closest match as it represents a specific current value in the stator under locked rotor conditions. The similarity score is the highest among the options (0.48), but it is still not a perfect match since 'stator_current_d_isd' is more specific (d-axis component) than the general 'locked_rotor_current'. No candidate directly represents the d-axis stator current, so this is the best available mapping.",LLM,0.47675442695617676,0.04296994209289551,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4768}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4338}, {""id"": ""rated_current"", ""sim"": 0.4333}, {""id"": ""breakdown_torque"", ""sim"": 0.4161}, {""id"": ""copper_losses"", ""sim"": 0.3977}]"
hinkkanen.ttl,stator_current_q_isq,locked_rotor_current,0.48,ACCEPT,"The variable 'stator_current_q_isq' refers to a component of stator current, likely the quadrature-axis (q-axis) current in a motor control context. Among the candidates, 'locked_rotor_current' is the closest match by both semantic similarity (sim: 0.475) and context, as it represents a specific current property of the motor. However, it is not a perfect match since 'locked_rotor_current' refers to a specific operating condition, while 'stator_current_q_isq' is a control variable. The other candidates are less relevant, focusing on torque, rated current, or flux.",LLM,0.47502225637435913,0.03552043437957764,"[{""id"": ""locked_rotor_current"", ""sim"": 0.475}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4395}, {""id"": ""rated_current"", ""sim"": 0.4368}, {""id"": ""linked_flux"", ""sim"": 0.4161}, {""id"": ""breakdown_torque"", ""sim"": 0.4154}]"
